,id_x,location,lat_x,long_x,description,category,created_at,image_filename,user,data_id,id_y,device_name,lat_y,long_y,pm_25,pm_10,no2,co,co2,ch4,temp,rh,data_created_time,date,month,AQI
40,756,Sector 13,28.4769927,77.031521,Sector 13,Vehicle Pollution,2024-09-30 03:42:01.944710,IMG20240930091037.jpg,person 25,5197290,5197290,TARA097,28.477228,77.02494,192.1,332.5,14.81,1.53,,,36.3,50.0,2024-09-30 09:09:00,2024-09-30,2024-09,Unhealthy
41,763,Gurugram,28.3510482,77.0605838,Firecracker  air pollution and noice pollution ,Waste Burning,2024-09-30 12:06:28.696131,IMG_20240930_172942.jpg,person 1,5160939,5160939,TARA085,28.351023,77.060341,78.6,118.2,15.2,1.79,,,33.8,60.0,2024-09-29 19:39:00,2024-09-29,2024-09,Moderate
42,764,Sector 8,28.4505315,77.0165392,Waste burning,Waste Burning,2024-09-30 12:24:06.024271,IMG_20240930_175228_386.jpg,person 15,5211966,5211966,TARA056,28.453066,77.01667,79.8,153.3,17.77,,518.0,,37.6,44.0,2024-09-30 16:03:00,2024-09-30,2024-09,Moderate
43,765,Sector 7,28.4705672,77.0183311,The censor was at the shop and there was a lot of dust around the shop,Construction & Demolition Waste,2024-09-30 14:20:07.666900,1000173645.jpg,person 11,5219443,5219443,TARA009,28.470881,77.018394,94.6,168.0,132.37,1.2,,,38.3,47.0,2024-09-30 19:21:00,2024-09-30,2024-09,Moderate
44,767,Block C-1 & C-2,28.4840156,77.0148839,Block C-1 C-2 ,Vehicle Pollution,2024-10-01 10:32:53.556287,IMG20241001160215.jpg,person 25,5200268,5200268,TARA097,28.444107,77.076088,96.8,130.6,4.03,1.24,,,36.2,50.0,2024-09-30 10:14:00,2024-09-30,2024-09,Moderate
45,768,Sector 6,28.475185,77.01968,Pollution.. Very harmful sec 5 ... Dayanad colony,Waste Burning,2024-10-01 12:53:40.457905,,person 29,4554428,4554428,TARA076,28.446032,77.07653,71.2,179.3,17.53,,672.0,,35.7,53.0,2024-09-20 09:14:00,2024-09-20,2024-09,Moderate
46,769,Sector 6,28.475185,77.01968,Pollution.. Very harmful sec 5 ... Dayanad colony,Waste Burning,2024-10-01 12:55:59.988867,1000018500.jpg,person 29,4554428,4554428,TARA076,28.446032,77.07653,71.2,179.3,17.53,,672.0,,35.7,53.0,2024-09-20 09:14:00,2024-09-20,2024-09,Moderate
47,770,Sector 7,28.4705616,77.0182686,I was at home today so didn't capture much . But even near the plants pm 2.5 and 10 is increased.,Construction & Demolition Waste,2024-10-01 13:27:04.123971,1000174271.jpg,person 11,5275827,5275827,TARA009,28.470545,77.018257,131.2,373.9,4.19,1.12,,,40.4,40.0,2024-10-01 18:54:00,2024-10-01,2024-10,Unhealthy for Sensitive Groups
48,771,Sector 3A,28.4831594,77.0134442,Sector 3A,Vehicle Pollution,2024-10-02 11:30:16.058893,IMG20241002165007.jpg,person 25,5330711,5330711,TARA097,28.482828,77.013565,73.4,174.2,8.43,1.36,,,39.9,39.0,2024-10-02 16:59:00,2024-10-02,2024-10,Moderate
49,772,Sector 3A,28.4831594,77.0134442,Sector 3A ,Vehicle Pollution,2024-10-02 11:31:57.106988,IMG20241002165007_nFSwYnW.jpg,person 25,5330805,5330805,TARA097,28.482765,77.013588,80.8,160.0,12.07,1.39,,,40.0,37.0,2024-10-02 17:01:00,2024-10-02,2024-10,Moderate
50,775,Sector 7,28.47069607,77.0181497,Sorry to submit the data of 2nd October very late the censor captures alot of dust today .,Construction & Demolition Waste,2024-10-02 18:49:34.399799,1000174673.jpg,person 11,5310624,5310624,TARA009,28.450771,77.007843,56.1,109.9,14.9,0.96,,,35.2,50.0,2024-10-02 09:18:00,2024-10-02,2024-10,Moderate
